id,date,name
1,2020-01-01,Capodanno
2,2020-01-06,Epifania
3,2020-04-25,Liberazione
4,2020-05-01,Festa del Lavoro
5,2020-06-02,Festa della Repubblica
6,2020-08-15,Ferragosto
7,2020-11-01,Ognissanti
8,2020-12-08,Immacolata
9,2020-12-25,Natale
10,2020-12-26,Santo Stefano
11,2021-01-01,Capodanno
12,2021-01-06,Epifania
13,2021-04-25,Liberazione
14,2021-05-01,Festa del Lavoro
15,2021-06-02,Festa della Repubblica
16,2021-08-15,Ferragosto
17,2021-11-01,Ognissanti
18,2021-12-08,Immacolata
19,2021-12-25,Natale
20,2021-12-26,Santo Stefano
21,2022-01-01,Capodanno
22,2022-01-06,Epifania
23,2022-04-25,Liberazione
24,2022-05-01,Festa del Lavoro
25,2022-06-02,Festa della Repubblica
26,2022-08-15,Ferragosto
27,2022-11-01,Ognissanti
28,2022-12-08,Immacolata
29,2022-12-25,Natale
30,2022-12-26,Santo Stefano
31,2023-01-01,Capodanno
32,2023-01-06,Epifania
33,2023-04-25,Liberazione
34,2023-05-01,Festa del Lavoro
35,2023-06-02,Festa della Repubblica
36,2023-08-15,Ferragosto
37,2023-11-01,Ognissanti
38,2023-12-08,Immacolata
39,2023-12-25,Natale
40,2023-12-26,Santo Stefano
41,2024-01-01,Capodanno
42,2024-01-06,Epifania
43,2024-04-25,Liberazione
44,2024-05-01,Festa del Lavoro
45,2024-06-02,Festa della Repubblica
46,2024-08-15,Ferragosto
47,2024-11-01,Ognissanti
48,2024-12-08,Immacolata
49,2024-12-25,Natale
50,2024-12-26,Santo Stefano
51,2025-01-01,Capodanno
52,2025-01-06,Epifania
53,2025-04-25,Liberazione
54,2025-05-01,Festa del Lavoro
55,2025-06-02,Festa della Repubblica
56,2025-08-15,Ferragosto
57,2025-11-01,Ognissanti
58,2025-12-08,Immacolata
59,2025-12-25,Natale
60,2025-12-26,Santo Stefano
61,2026-01-01,Capodanno
62,2026-01-06,Epifania
63,2026-04-25,Liberazione
64,2026-05-01,Festa del Lavoro
