code,start_time,end_time
201,04:00,06:00
202,04:30,06:30
203,05:00,07:00
204,05:30,07:30
205,06:00,08:00
206,06:30,08:30
207,07:00,09:00
208,07:30,09:30
209,08:00,10:00
210,08:30,10:30
211,09:00,11:00
212,09:30,11:30
213,10:00,12:00
214,10:30,12:30
215,11:00,13:00
216,11:30,13:30
217,12:00,14:00
218,12:30,14:30
219,13:00,15:00
220,13:30,15:30
221,14:00,16:00
222,14:30,16:30
223,15:00,17:00
224,15:30,17:30
225,16:00,18:00
226,16:30,18:30
227,17:00,19:00
228,17:30,19:30
229,18:00,20:00
230,18:30,20:30
231,19:00,21:00
232,19:30,21:30
233,20:00,22:00
234,20:30,22:30
235,21:00,23:00
236,21:30,23:30
237,22:00,00:00
238,22:30,00:30
239,23:00,01:00
240,23:30,01:30
241,00:00,02:00
242,00:30,02:30
243,01:00,03:00
244,01:30,03:30
245,02:00,04:00
246,02:30,04:30
247,03:00,05:00
248,03:30,05:30
301,04:00,07:00
302,04:30,07:30
303,05:00,08:00
304,05:30,08:30
305,06:00,09:00
306,06:30,09:30
307,07:00,10:00
308,07:30,10:30
309,08:00,11:00
310,08:30,11:30
311,09:00,12:00
312,09:30,12:30
313,10:00,13:00
314,10:30,13:30
315,11:00,14:00
316,11:30,14:30
317,12:00,15:00
318,12:30,15:30
319,13:00,16:00
320,13:30,16:30
321,14:00,17:00
322,14:30,17:30
323,15:00,18:00
324,15:30,18:30
325,16:00,19:00
326,16:30,19:30
327,17:00,20:00
328,17:30,20:30
329,18:00,21:00
330,18:30,21:30
331,19:00,22:00
332,19:30,22:30
333,20:00,23:00
334,20:30,23:30
335,21:00,00:00
336,21:30,00:30
337,22:00,01:00
338,22:30,01:30
339,23:00,02:00
340,23:30,02:30
341,00:00,03:00
342,00:30,03:30
343,01:00,04:00
344,01:30,04:30
345,02:00,05:00
346,02:30,05:30
347,03:00,06:00
348,03:30,06:30
401,04:00,08:00
402,04:30,08:30
403,05:00,09:00
404,05:30,09:30
